Food group;Food;Carbohydrates [g];Quantity;Unit
Grains;Crisps - Potato chips;50;100;g
Grains;Couscous;33;100;g
Grains;Oatmeal;58;100;g
Grains;Chips - French fries;25;100;g
Grains;White bread;50;100;g
Grains;Wholemeal bread;42;100;g
Grains;Cooked pasta;22.7;100;g
Grains;Cooked peas;10;100;g
Grains;Potatoes;17;100;g
Grains;Rice - Risotto;25;100;g
Grains;Rösti;17;100;g
Grains;Spaetzli;19;100;g
Dairy;Cream;4.5;100;ml
Dairy;Milk;5;100;ml
Dairy;Natural yogurt;6;100;g
Fruits;Apricot;10;100;g
Fruits;Fresh pineapple;10;100;g
Fruits;Avocado;0.8;100;g
Fruits;Pealed banana;21;100;g
Fruits;Unpealed banana;15;100;g
Fruits;Fresh cherry;15;100;g
Fruits;Strawberry;7.5;100;g
Fruits;Raspberry;7.5;100;g
Fruits;Passion fruit - pulp and seeds;12;100;g
Fruits;Japanese persimmon - kaki;12;100;g
Fruits;Kiwi;10;100;g
Fruits;Tangerine - mandarin;10;100;g
Fruits;Mango;15;100;g
Fruits;Melon;10;100;g
Fruits;Blackberry;10;100;g
Fruits;Blueberry;10;100;g
Fruits;Orange;10;100;g
Fruits;Grapefruit;10;100;g
Fruits;Papaya;7;100;g
Fruits;Pealed watermelon;7.5;100;g
Fruits;Peach;10;100;g
Fruits;Pear;10;100;g
Fruits;Apple;10;100;g
Fruits;Plum;10;100;g
Fruits;Grape;10;100;g
Fruits;Rhubarb;3.5;100;g
Sweet products;Biscuits - Chocolate brownie;50;100;g
Sweet products;Biscuits - Kambly Butterfly;70;100;g
Sweet products;Biscuits Leckerli;65;100;g
Sweet products;Carambar (g);83.9;100;g
Sweet products;Carambar (pcs);6.3;1;pcs
Sweet products;Chocolate - Milk Chocolate Cailler;56;100;g
Sweet products;Chocolate - Cailler Branch;52;100;g
Sweet products;Chocolate - Kinder;48;100;g
Sweet products;Chocolate - Mars bar;69;100;g
Sweet products;Chocolate - MilkyWay bar;71.6;100;g
Sweet products;Chocolate - Black Cremant;53;100;g
Sweet products;Chocolate - Ragusa bar;46;100;g
Sweet products;Chocolate - Black Ragusa bar;42;100;g
Sweet products;Jam;61;100;g
Sweet products;Black forest pie;38;100;g
Sweet products;Ice cream - Rocket lolly - Migros (g);23;100;g
Sweet products;Ice cream - Rocket lolly - Migros (pcs);13;1;pce
Sweet products;Ice cream - Rocket lolly - Nestlé (g);21;100;ml
Sweet products;Ice cream - Rocket lolly - Nestlé (pcs);11;1;pce
Sweet products;Ice cream - Straciatella - Moevenpick ;15;100;g
Sweet products;Ice cream - Vanilla - Moevenpick ;24;100;g
Sweet products;Ice cream - Hazelnut bio - Migros;23;100;g
Sweet products;Ice cream - Strawberry Raspberry - Moevenpick;25;100;g
Sweet products;Ice cream - Passion fruit - Moevenpick;31;100;g
Sweet products;Haribo - brixx;82;100;g
Sweet products;Haribo - bear;74;100;g
Sweet products;Kellogs Choco krispies;85;100;g
Sweet products;Kellogs Chocos;80;100;g
Sweet products;Kellogs Corn Flakes;84;100;g
Sweet products;Kellogs Frosties;85;100;g
Sweet products;Kellogs Pops;88;100;g
Sweet products;Kellogs Rice Crispies;86;100;g
Sweet products;Kellogs Smacks;84;100;g
Sweet products;Kellogs Special K;75;100;g
Sweet products;Kellogs Tresor;66;100;g
Sweet products;M&Ms;59;100;g
Sweet products;Meringue;94;100;g
Sweet products;Honey;75;100;g
Sweet products;Nesquik;80;100;g
Sweet products;Nimm 2;87.5;100;g
Sweet products;Smarties;71;100;g
Sweet products;Suchard express;80;100;g
Sweet products;Sugar;100;100;g
Beverages;Coca Cola;10.6;100;ml
Beverages;Grape juice;15;100;ml
Beverages;Apple juice;11;100;ml
Beverages;Orange juice;11;100;ml
Beverages;Oasis orange;9.9;100;ml
Beverages;Oasis peach;5.3;100;ml
Beverages;Oasis tropical;9.4;100;ml
Beverages;San Pellegrino Sanbitter;16;100;ml
Beverages;Schweppes Lemon;12;100;ml
Beverages;Schweppes Quinine;8.9;100;ml
Beverages;Peach syrup - Migros - dilution 1/6;11;100;ml
Beverages;Ice tea;7;100;ml
Combination products;Chili con carne - home made;4.5;100;g
Combination products;Pizza Prociutto cotto - home made;22;100;g
