Catégorie;Aliment;Glucides [g];Poids/Vol/Pce;Unité
Farineux;Chips;50;100;g
Farineux;Couscous;33;100;g
Farineux;Flocons d'avoine;58;100;g
Farineux;Frites;25;100;g
Farineux;Pain blanc;50;100;g
Farineux;Pain complet;42;100;g
Farineux;Pâtes cuites;22.7;100;g
Farineux;Petits pois cuits;10;100;g
Farineux;Pommes de terre;17;100;g
Farineux;Riz - Risotto;25;100;g
Farineux;Roesti;17;100;g
Farineux;Spaetzli;19;100;g
Laitages;Crème;4.5;100;ml
Laitages;Lait;5;100;ml
Laitages;Yoghourt Nature;6;100;g
Fruits;Abricot;10;100;g
Fruits;Ananas frais;10;100;g
Fruits;Avocat;0.8;100;g
Fruits;Banane;21;100;g
Fruits;Banane - avec peau;15;100;g
Fruits;Cerises fraîches;15;100;g
Fruits;Fraises;7.5;100;g
Fruits;Framboises;7.5;100;g
Fruits;Fruit passion, pulpe et pépins;12;100;g
Fruits;Kaki;12;100;g
Fruits;Kiwi;10;100;g
Fruits;Mandarine;10;100;g
Fruits;Mangue;15;100;g
Fruits;Melon;10;100;g
Fruits;Mirabelles;10;100;g
Fruits;Mûres;10;100;g
Fruits;Myrtilles;10;100;g
Fruits;Orange;10;100;g
Fruits;Pamplemousse;10;100;g
Fruits;Papaye;7;100;g
Fruits;Pastèque;7.5;100;g
Fruits;Pêche, nectarine;10;100;g
Fruits;Poire;10;100;g
Fruits;Pomme;10;100;g
Fruits;Prunes, mirabelles;10;100;g
Fruits;Raisin;10;100;g
Fruits;Rhubarbe;3.5;100;g
Produits sucrés;Bircher Farmer Croc bio nature;66;100;g
Produits sucrés;Biscuits Brownie au chocolat;50;100;g
Produits sucrés;Biscuits Butterfly Kambly;70;100;g
Produits sucrés;Biscuits leckerli original;65;100;g
Produits sucrés;Carambar (g);83.9;100;g
Produits sucrés;Carambar (pce);6.3;1;pce
Produits sucrés;Chocolat au lait - Cailler (carré);2.3;1;carré
Produits sucrés;Chocolat au lait - Cailler (g);56;100;g
Produits sucrés;Chocolat Branche Cailler;52;100;g
Produits sucrés;Chocolat Kinder;48;100;g
Produits sucrés;Chocolat Mars;69;100;g
Produits sucrés;Chocolat MilkyWay;71.6;100;g
Produits sucrés;Chocolat noir Crémant;53;100;g
Produits sucrés;Chocolat Ragusa;46;100;g
Produits sucrés;Chocolat Ragusa noir;42;100;g
Produits sucrés;Confiture sucrée;61;100;g
Produits sucrés;Forêt noire;38;100;g
Produits sucrés;Glace à l'eau - Fusée - Migros (g);23;100;g
Produits sucrés;Glace à l'eau - Fusée - Migros (pce);13;1;pce
Produits sucrés;Glace à l'eau - Fusée - Nestlé (ml);21;100;ml
Produits sucrés;Glace à l'eau - Fusée - Nestlé (pce);11;1;pce
Produits sucrés;Glace Moevenpick Straciatella;15;100;g
Produits sucrés;Glace Moevenpick vanille;24;100;g
Produits sucrés;Glace Noisette bio - Migros;23;100;g
Produits sucrés;Glace Sorbet fraise framboises - Moevenpick;25;100;g
Produits sucrés;Glace Sorbet Passion - Moevenpick;31;100;g
Produits sucrés;Haribo - brixx;82;100;g
Produits sucrés;Haribo - ours;74;100;g
Produits sucrés;Kellogs Choco krispies;85;100;g
Produits sucrés;Kellogs Chocos;80;100;g
Produits sucrés;Kellogs Corn Flakes;84;100;g
Produits sucrés;Kellogs Frosties;85;100;g
Produits sucrés;Kellogs Pops;88;100;g
Produits sucrés;Kellogs Rice Crispies;86;100;g
Produits sucrés;Kellogs Smacks;84;100;g
Produits sucrés;Kellogs Spécial K;75;100;g
Produits sucrés;Kellogs Spécial K au choco;75;100;g
Produits sucrés;Kellogs Spécial K aux fruits rouges;76;100;g
Produits sucrés;Kellogs Spécial K strawberry choco;76;100;g
Produits sucrés;Kellogs Trésor choco nougat;66;100;g
Produits sucrés;Kellogs Trésors choco caramel;68;100;g
Produits sucrés;M&Ms;59;100;g
Produits sucrés;Meringue;94;100;g
Produits sucrés;Miel;75;100;g
Produits sucrés;Nesquik;80;100;g
Produits sucrés;Nimm 2;87.5;100;g
Produits sucrés;Smarties;71;100;g
Produits sucrés;Suchard express;80;100;g
Produits sucrés;Sucre;100;100;g
Boissons;Coca Cola;10.6;100;ml
Boissons;Jus de raisin;15;100;ml
Boissons;Jus de pommes;11;100;ml
Boissons;Jus d'oranges;11;100;ml
Boissons;Oasis orange;9.9;100;ml
Boissons;Oasis pêche;5.3;100;ml
Boissons;Oasis tropical;9.4;100;ml
Boissons;San Pellegrino Sanbitter;16;100;ml
Boissons;Schweppes Lemon;12;100;ml
Boissons;Schweppes Quinine;8.9;100;ml
Boissons;Sirop Pêche migros dilué 1/6;11;100;ml
Boissons;Thé glacé;7;100;ml
Produits mixtes;Chili con carne;4.5;100;g
Produits mixtes;Pizza maison Prociutto cotto;22;100;g
